dr_grade,recommendation
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
